09332	record
05c0b	inquire
06025	hurry
07a4f	calm
04fb5	encroach
06d78	immersed
05bdd	lie down
05a66	lady
06383	sweep
05f53	hit
04e89	contend
06d44	clean
04e8b	matter
05510	T'ang
07cd6	sugar
05eb7	ease
0902e	apprehend
04f0a	Italy
0541b	old boy
07fa4	flock
08010	-proof
09700	demand
05112	Confucian
07aef	edge
04e21	both
06e80	full
0753b	brush-stroke
06b6f	tooth
066f2	bend
066f9	cadet
0906d	encounter
06f15	rowing
069fd	vat
06597	Ursa Major
06599	fee
079d1	department
056f3	map
07528	utilize
05eb8	commonplace
05099	equip
06614	once upon a time
0932f	confused
0501f	borrow
060dc	pity
063aa	set aside
06563	scatter
05eff	twenty
05eb6	commoner
0906e	intercept
05e2d	seat
05ea6	degrees
06e21	transit
05954	bustle
05674	erupt
058b3	tomb
061a4	aroused
0713c	bake
06681	daybreak
0534a	half
04f34	consort
07554	paddy-ridge
05224	judgment
05238	ticket
05dfb	scroll
0570f	sphere
052dd	victory
085e4	wistaria
08b04	mimeograph
07247	one-sided
07248	printing block
04e4b	of
04e4f	destitution
0829d	turf
04e0d	negative
05426	negate
0676f	cupfuls
077e2	dart
077ef	rectify
065cf	tribe
077e5	know
0667a	wisdom
077db	halberd
067d4	tender
052d9	task
09727	fog
073ed	squad
05e30	homecoming
05f13	bow
05f15	pull
05f14	condolences
05f18	vast
05f37	strong
05f31	weak
06cb8	seethe
08cbb	expense
07b2c	No.
05f1f	younger brother
05de7	adroit
053f7	nickname
0673d	decay
08a87	boast
06c5a	dirty
04e0e	bestow
05199	copy
08eab	somebody
05c04	shoot
08b1d	apologize
08001	old man
08003	consider
05b5d	filial piety
06559	teach
062f7	torture
08005	someone
0716e	boil
08457	renowned
07f72	signature
06691	sultry
08af8	various
0732a	boar
06e1a	strand
08ced	gamble
05ce1	gorge
072ed	cramped
0631f	sandwiched
08ffd	chase
05e2b	expert
05e25	commander
05b98	bureaucrat
068fa	coffin
07ba1	pipe
07236	father
04ea4	mingle
052b9	merit
08f03	contrast
06821	exam
08db3	leg
04fc3	stimulate
08ddd	long-distance
08def	path
09732	dew
08df3	hop
08e8d	leap
08df5	tread
08e0f	step
09aa8	skeleton
06ed1	slippery
09ac4	marrow
0798d	calamity
06e26	whirlpool
0904e	overdo
0962a	Heights
0963f	Africa
0969b	occasion
0969c	hinder
0968f	follow
0966a	obeisance
0967d	sunshine
09673	exhibit
09632	ward off
09644	affixed
09662	Inst.
09663	camp
0968a	regiment
0589c	crash
0964d	descend
0968e	storey
0965b	highness
096a3	neighboring
09694	isolate
096a0	conceal
05815	degenerate
09665	collapse
07a74	hole
07a7a	empty
063a7	withdraw
07a81	stab
07a76	research
07a92	plug up
07a83	stealth
07aaa	depression
0643e	squeeze
07aaf	kiln
07aae	hard up
063a2	grope
06df1	deep
04e18	hill
05cb3	Point
05175	soldier
06d5c	seacoast
07cf8	thread
07e54	weave
07e55	darning
07e2e	shrink
07e41	luxuriant
07e26	vertical
07dda	line
07de0	tighten
07dad	fiber
07f85	gauze
07df4	practice
07dd2	thong
07d9a	continue
07d75	picture
07d71	overall
07d5e	strangle
07d66	salary
07d61	entwine
07d50	tie
07d42	end
07d1a	class
07d00	chronicle
07d05	crimson
07d0d	settlement
07d21	spinning
07d1b	distract
07d39	introduce
07d4c	sutra
07d33	sire
07d04	promise
07d30	dainty
07d2f	accumulate
07d22	cord
07dcf	general
07dbf	cotton
07d79	silk
07e70	winding
07d99	inherit
07dd1	green
07e01	affinity
07db2	netting
07dca	tense
07d2b	purple
07e1b	truss
07e04	straw rope
05e7c	infancy
05f8c	behind
05e7d	seclude
05e7e	how many
06a5f	mechanism
07384	mysterious
0755c	livestock
084c4	amass
05f26	bowstring
064c1	hug
06ecb	nourishing
06148	mercy
078c1	magnet
07cfb	lineage
04fc2	person in charge
05b6b	grandchild
061f8	suspend
05374	instead
0811a	skids
05378	wholesale
05fa1	honorable
0670d	clothing
0547d	fate
04ee4	orders
096f6	zero
09f62	age
051b7	cool
09818	jurisdiction
09234	small bell
052c7	courage
0901a	traffic
08e0a	jump
07591	doubt
064ec	mimic
